invoice,stockcode,description,quantity,invoicedate,price,customer_id,country,total_sales,year,month,month_name,day_of_week,hour,quarter
490008,21156,Red Spotty Childs Apron,2,2009-12-03 12:10:00,1.95,15768,United Kingdom,3.9,2009,12,Dec,Thursday,12,4
490013,21498,Red Spots  Wrap,25,2009-12-03 12:27:00,0.42,17069,United Kingdom,10.5,2009,12,Dec,Thursday,12,4
490048,21949,Set Of 6 Strawberry Chopsticks,6,2009-12-03 13:03:00,1.25,16779,United Kingdom,7.5,2009,12,Dec,Thursday,13,4
490052,21790,Vintage Snap Cards,24,2009-12-03 13:09:00,0.85,13895,United Kingdom,20.4,2009,12,Dec,Thursday,13,4
490057,21645,Assorted Tutti Frutti Round Box,12,2009-12-03 13:25:00,1.65,17465,United Kingdom,19.8,2009,12,Dec,Thursday,13,4
490060,79323P,Pink Cherry Lights,4,2009-12-03 13:32:00,6.75,13468,United Kingdom,27.0,2009,12,Dec,Thursday,13,4
490060,21642,Assorted Tutti Frutti Pen,24,2009-12-03 13:32:00,0.85,13468,United Kingdom,20.4,2009,12,Dec,Thursday,13,4
490078,21232,Strawberry Ceramic Trinket Box,2,2009-12-03 15:09:00,1.25,17853,United Kingdom,2.5,2009,12,Dec,Thursday,15,4
490083,85044,Red Reindeer String Of 20 Lights,24,2009-12-03 15:35:00,4.25,14031,United Kingdom,42.075,2009,12,Dec,Thursday,15,4
490092,85123A,White Hanging Heart T-Light Holder,6,2009-12-03 15:54:00,2.95,16612,United Kingdom,17.700000000000003,2009,12,Dec,Thursday,15,4
490099,84031B,Charlie Lola Blue Hot Water Bottle,3,2009-12-03 16:12:00,4.65,16736,United Kingdom,13.95,2009,12,Dec,Thursday,16,4
490100,21839,Mummy Mouse Red Gingham Ribbon,3,2009-12-03 16:21:00,5.45,13001,United Kingdom,16.35,2009,12,Dec,Thursday,16,4
490107,22111,Scottie Dog Hot Water Bottle,2,2009-12-03 16:47:00,4.95,14662,United Kingdom,9.9,2009,12,Dec,Thursday,16,4
490111,85126,Large Round Cutglass Candlestick,6,2009-12-03 16:54:00,6.75,17576,United Kingdom,40.5,2009,12,Dec,Thursday,16,4
490140,22121,Noel Wooden Block Letters,2,2009-12-03 20:03:00,5.95,12872,United Kingdom,11.9,2009,12,Dec,Thursday,20,4
490140,21185,Home Sweet Home  Blackboard,1,2009-12-03 20:03:00,6.35,12872,United Kingdom,6.35,2009,12,Dec,Thursday,20,4
490143,22274,Feltcraft Doll Emily,6,2009-12-04 08:40:00,2.95,14286,United Kingdom,17.700000000000003,2009,12,Dec,Friday,8,4
490143,85032D,Yuletide Images Gift Wrap Set,12,2009-12-04 08:40:00,2.1,14286,United Kingdom,25.200000000000003,2009,12,Dec,Friday,8,4
490147,84988,Set Of 72 Pink Heart Paper Doilies,48,2009-12-04 09:31:00,1.45,13408,United Kingdom,42.075,2009,12,Dec,Friday,9,4
490154,22275,Weekend Bag Vintage Rose Paisley,2,2009-12-04 10:18:00,8.5,16335,United Kingdom,17.0,2009,12,Dec,Friday,10,4
490157,51008,Afghan Slipper Sock Pair,40,2009-12-04 10:39:00,3.45,16736,United Kingdom,42.075,2009,12,Dec,Friday,10,4
490166,21740,Cosy Slipper Shoes Large Red,18,2009-12-04 11:32:00,2.95,14735,United Kingdom,42.075,2009,12,Dec,Friday,11,4
490289,22138,Baking Set 9 Piece Retrospot,3,2009-12-04 13:01:00,4.95,15309,United Kingdom,14.85,2009,12,Dec,Friday,13,4
490291,72814,Set/3 Christmas Briar Candles,3,2009-12-04 13:22:00,3.75,16541,United Kingdom,11.25,2009,12,Dec,Friday,13,4
490298,79323P,Pink Cherry Lights,24,2009-12-04 14:13:00,5.45,15382,United Kingdom,42.075,2009,12,Dec,Friday,14,4
490304,22066,Love Heart Trinket Pot,12,2009-12-04 14:35:00,1.45,17593,United Kingdom,17.4,2009,12,Dec,Friday,14,4
490305,21010,Etched Glass Bird Tree Decoration,12,2009-12-04 14:37:00,1.25,17243,United Kingdom,15.0,2009,12,Dec,Friday,14,4
490331,84753A,Pink Eau De Cologne Bottle,1,2009-12-04 15:30:00,0.85,18181,United Kingdom,0.85,2009,12,Dec,Friday,15,4
490360,72752B,"F.Fairy,Candle In Glass,Lavender",1,2009-12-04 16:52:00,4.25,13679,United Kingdom,4.25,2009,12,Dec,Friday,16,4
490364,22415,White Tissue Ream,1,2009-12-05 10:25:00,7.95,13487,United Kingdom,7.95,2009,12,Dec,Saturday,10,4
490365,22219,Lovebird Hanging Decoration White,24,2009-12-05 10:27:00,0.85,17018,United Kingdom,20.4,2009,12,Dec,Saturday,10,4
490389,22084,Paper Chain Kit Empire,12,2009-12-05 15:18:00,2.95,15484,United Kingdom,35.400000000000006,2009,12,Dec,Saturday,15,4
490396,84970L,Single Heart Zinc T-Light Holder,12,2009-12-06 10:26:00,0.95,13589,United Kingdom,11.4,2009,12,Dec,Sunday,10,4
490398,37446,Mini Cake Stand With Hanging Cakes,6,2009-12-06 10:37:00,1.45,17920,United Kingdom,8.7,2009,12,Dec,Sunday,10,4
490463,21527,Retro Spot Traditional Teapot,2,2009-12-06 12:10:00,7.95,14133,United Kingdom,15.9,2009,12,Dec,Sunday,12,4
490465,21679,Skulls  Stickers,18,2009-12-06 12:14:00,0.85,13448,United Kingdom,15.3,2009,12,Dec,Sunday,12,4
490466,21112,"Swiss Roll Towel, Pink  Spots",3,2009-12-06 12:16:00,2.95,17085,United Kingdom,8.850000000000001,2009,12,Dec,Sunday,12,4
490467,90195B,Black Gemstone Bracelet,2,2009-12-06 12:17:00,8.95,15059,United Kingdom,17.9,2009,12,Dec,Sunday,12,4
490488,84932A,Small Green Peony Folding Stool,1,2009-12-06 13:07:00,8.5,16718,United Kingdom,8.5,2009,12,Dec,Sunday,13,4
490490,22348,Tea Bag Plate Red Spotty,6,2009-12-06 13:10:00,0.85,14546,United Kingdom,5.1,2009,12,Dec,Sunday,13,4
490496,90214J,"Letter ""J"" Bling Key Ring",2,2009-12-06 13:40:00,1.25,15547,United Kingdom,2.5,2009,12,Dec,Sunday,13,4
490500,21587,Cosy Hour Giant Tube Matches,1,2009-12-06 13:48:00,2.55,14479,United Kingdom,2.55,2009,12,Dec,Sunday,13,4
490512,21232,Strawberry Ceramic Trinket Box,3,2009-12-06 14:54:00,1.25,14606,United Kingdom,3.75,2009,12,Dec,Sunday,14,4
490514,20894,Hanging Bauble T-Light Holder Large,1,2009-12-06 15:01:00,2.95,16773,United Kingdom,2.95,2009,12,Dec,Sunday,15,4
490516,82486,Wood S/3 Cabinet Ant White Finish,6,2009-12-06 15:09:00,6.95,17850,United Kingdom,41.7,2009,12,Dec,Sunday,15,4
490524,21704,Bag 250G Swirly Marbles,12,2009-12-06 15:35:00,0.85,14123,United Kingdom,10.2,2009,12,Dec,Sunday,15,4
490534,21359,Relax Large Wood Letters,1,2009-12-06 16:17:00,15.95,17530,United Kingdom,15.95,2009,12,Dec,Sunday,16,4
490534,22319,Hairclips Forties Fabric Assorted,12,2009-12-06 16:17:00,0.65,17530,United Kingdom,7.800000000000001,2009,12,Dec,Sunday,16,4
490612,22297,Heart Ivory Trellis Small,24,2009-12-07 11:46:00,1.25,17508,Greece,30.0,2009,12,Dec,Monday,11,4
490613,21231,Sweetheart Ceramic Trinket Box,5,2009-12-07 11:47:00,1.25,16768,United Kingdom,6.25,2009,12,Dec,Monday,11,4
490636,72351B,Set/6 Pink  Butterfly T-Lights,1,2009-12-07 12:08:00,2.1,13564,United Kingdom,2.1,2009,12,Dec,Monday,12,4
490659,15056N,Edwardian Parasol Natural,6,2009-12-07 12:26:00,4.95,17850,United Kingdom,29.700000000000003,2009,12,Dec,Monday,12,4
490683,21908,Chocolate This Way Metal Sign,12,2009-12-07 13:45:00,2.1,17865,United Kingdom,25.200000000000003,2009,12,Dec,Monday,13,4
490687,21430,Set/3 Red Gingham Rose Storage Box,6,2009-12-07 13:49:00,3.75,14911,EIRE,22.5,2009,12,Dec,Monday,13,4
490711,21154,Red Spotty Oven Glove,1,2009-12-07 15:26:00,1.25,17841,United Kingdom,1.25,2009,12,Dec,Monday,15,4
490722,85033G,Set/6 Gold Reindeer T-Light Candles,12,2009-12-07 15:55:00,1.95,16717,United Kingdom,23.4,2009,12,Dec,Monday,15,4
490727,21172,Party Metal Sign,2,2009-12-07 16:38:00,1.45,17231,United Kingdom,2.9,2009,12,Dec,Monday,16,4
490727,84947,Antique Silver Tea Glass Engraved,6,2009-12-07 16:38:00,1.25,17231,United Kingdom,7.5,2009,12,Dec,Monday,16,4
490782,37500,Tea Time Teapot In Gift Box,12,2009-12-08 11:22:00,8.49,15079,United Kingdom,42.075,2009,12,Dec,Tuesday,11,4
490863,21810,Christmas Hanging Star With Bell,3,2009-12-08 12:51:00,1.25,17852,United Kingdom,3.75,2009,12,Dec,Tuesday,12,4
490905,84032A,Charlie+Lola Pink Hot Water Bottle,3,2009-12-08 13:08:00,2.95,16940,United Kingdom,8.850000000000001,2009,12,Dec,Tuesday,13,4
490924,21477,String Of 20 Rose Lights,1,2009-12-08 13:27:00,12.75,17978,United Kingdom,12.75,2009,12,Dec,Tuesday,13,4
490937,21977,Pack Of 60 Pink Paisley Cake Cases,48,2009-12-08 13:58:00,0.55,13081,United Kingdom,26.4,2009,12,Dec,Tuesday,13,4
490941,21757,Lighthouse Printed Metal Sign,2,2009-12-08 14:03:00,4.95,14527,United Kingdom,9.9,2009,12,Dec,Tuesday,14,4
490953,82578,Kitchen Metal Sign,12,2009-12-08 14:56:00,0.55,13204,United Kingdom,6.6000000000000005,2009,12,Dec,Tuesday,14,4
490958,21314,Small Glass Heart Trinket Pot,8,2009-12-08 15:12:00,2.1,13576,United Kingdom,16.8,2009,12,Dec,Tuesday,15,4
490981,22273,Feltcraft Doll Molly,6,2009-12-08 16:56:00,2.95,13855,United Kingdom,17.700000000000003,2009,12,Dec,Tuesday,16,4
491056,79323LP,Light Pink Cherry Lights,24,2009-12-09 11:01:00,5.45,17428,United Kingdom,42.075,2009,12,Dec,Wednesday,11,4
491064,21122,Set/10 Pink Spotty Party Candles,2,2009-12-09 11:58:00,1.25,16782,United Kingdom,2.5,2009,12,Dec,Wednesday,11,4
491070,21485,Red Spot Heart Hot Water Bottle,9,2009-12-09 12:32:00,4.95,16912,United Kingdom,42.075,2009,12,Dec,Wednesday,12,4
491109,21616,4 Pear Botanical Dinner Candles,1,2009-12-09 14:30:00,3.75,13825,United Kingdom,3.75,2009,12,Dec,Wednesday,14,4
491123,16156N,"Wrap, Friendship On Green",25,2009-12-09 15:20:00,0.42,17043,United Kingdom,10.5,2009,12,Dec,Wednesday,15,4
491138,21769,Vintage Post Office Cabinet,1,2009-12-09 16:26:00,79.95,16168,United Kingdom,42.075,2009,12,Dec,Wednesday,16,4
491147,84755,Colour Glass T-Light Holder Hanging,8,2009-12-09 17:27:00,0.65,14710,United Kingdom,5.2,2009,12,Dec,Wednesday,17,4
491160,21519,Gin & Tonic Diet Greeting Card,12,2009-12-10 10:29:00,0.42,14911,EIRE,5.04,2009,12,Dec,Thursday,10,4
491163,84682,Classical Rose Dish,6,2009-12-10 10:42:00,2.95,13693,United Kingdom,17.700000000000003,2009,12,Dec,Thursday,10,4
491173,85135B,Blue Dragonfly Helicopter,1,2009-12-10 11:42:00,7.95,15858,United Kingdom,7.95,2009,12,Dec,Thursday,11,4
491192,21535,Retro Spot Small Milk Jug,2,2009-12-10 12:44:00,2.55,14527,United Kingdom,5.1,2009,12,Dec,Thursday,12,4
491317,21506,"Fancy Font Birthday Card,",12,2009-12-10 15:28:00,0.42,16670,United Kingdom,5.04,2009,12,Dec,Thursday,15,4
491321,22348,Tea Bag Plate Red Spotty,10,2009-12-10 15:36:00,0.85,17032,United Kingdom,8.5,2009,12,Dec,Thursday,15,4
491356,21239,Pink  Spotty Cup,8,2009-12-10 15:52:00,0.85,15738,United Kingdom,6.8,2009,12,Dec,Thursday,15,4
491406,22042,Christmas Card Singing Angel,12,2009-12-10 18:27:00,0.42,14081,United Kingdom,5.04,2009,12,Dec,Thursday,18,4
491426,20831,Gold Photo Frame,3,2009-12-10 20:16:00,2.1,15494,United Kingdom,6.300000000000001,2009,12,Dec,Thursday,20,4
491449,21232,Strawberry Ceramic Trinket Box,36,2009-12-11 10:58:00,1.25,17230,United Kingdom,42.075,2009,12,Dec,Friday,10,4
491462,22415,White Tissue Ream,6,2009-12-11 11:38:00,7.95,17243,United Kingdom,42.075,2009,12,Dec,Friday,11,4
491474,82600,No Singing Metal Sign,2,2009-12-11 12:09:00,2.1,14577,United Kingdom,4.2,2009,12,Dec,Friday,12,4
491570,21790,Vintage Snap Cards,24,2009-12-11 12:51:00,0.85,13418,United Kingdom,20.4,2009,12,Dec,Friday,12,4
491613,84969,Assorted Colour Set 6 Teaspoons,3,2009-12-11 13:52:00,4.25,16952,United Kingdom,12.75,2009,12,Dec,Friday,13,4
491622,72800A,S/4 Black Dinner Candle Silver Floc,1,2009-12-11 14:20:00,2.55,13415,United Kingdom,2.55,2009,12,Dec,Friday,14,4
491627,85123A,White Hanging Heart T-Light Holder,6,2009-12-11 14:33:00,2.95,13819,United Kingdom,17.700000000000003,2009,12,Dec,Friday,14,4
491633,85107,Cut Glass T-Light Holder Octagon,36,2009-12-11 15:37:00,2.55,17958,United Kingdom,42.075,2009,12,Dec,Friday,15,4
491642,84012,Magic Sheep Wool Growing From Paper,1,2009-12-11 16:33:00,2.55,14130,United Kingdom,2.55,2009,12,Dec,Friday,16,4
491643,20753,Retro Pink Spot Washing Up Gloves,12,2009-12-11 16:46:00,2.1,15856,United Kingdom,25.200000000000003,2009,12,Dec,Friday,16,4
491663,85106,Cut Glass Hexagon T-Light Holder,4,2009-12-13 11:23:00,2.55,15860,United Kingdom,10.2,2009,12,Dec,Sunday,11,4
491665,21519,Gin & Tonic Diet Greeting Card,12,2009-12-13 11:32:00,0.42,14685,United Kingdom,5.04,2009,12,Dec,Sunday,11,4
491665,72756,Fairy Cake Candles,108,2009-12-13 11:32:00,1.25,14685,United Kingdom,42.075,2009,12,Dec,Sunday,11,4
491694,22297,Heart Ivory Trellis Small,7,2009-12-13 13:24:00,1.25,17066,United Kingdom,8.75,2009,12,Dec,Sunday,13,4
491703,85185B,Pink Horse Sock Puppet,1,2009-12-13 14:01:00,2.95,14525,United Kingdom,2.95,2009,12,Dec,Sunday,14,4
491712,72232,Feng Shui Pillar Candle,48,2009-12-13 15:17:00,0.19,15562,United Kingdom,9.12,2009,12,Dec,Sunday,15,4
491738,85049E,Scandinavian Reds Ribbons,12,2009-12-14 10:49:00,1.25,12472,Germany,15.0,2009,12,Dec,Monday,10,4
491738,21245,Green  Spotty Plate,8,2009-12-14 10:49:00,1.69,12472,Germany,13.52,2009,12,Dec,Monday,10,4
491755,21668,Red Stripe Ceramic Drawer Knob,6,2009-12-14 12:16:00,1.25,17825,United Kingdom,7.5,2009,12,Dec,Monday,12,4
491758,84050,Pink Heart Shape Egg Frying Pan,14,2009-12-14 12:24:00,1.65,17908,United Kingdom,23.1,2009,12,Dec,Monday,12,4
491800,84472,Pink And Lilac Quilted Throw,5,2009-12-14 12:58:00,39.95,17511,United Kingdom,42.075,2009,12,Dec,Monday,12,4
491816,22114,Hot Water Bottle Tea And Sympathy,8,2009-12-14 13:36:00,3.95,14961,United Kingdom,31.6,2009,12,Dec,Monday,13,4
491960,21481,Fawn Blue Hot Water Bottle,6,2009-12-14 16:29:00,2.95,17416,United Kingdom,17.700000000000003,2009,12,Dec,Monday,16,4
491961,21214,Set Of 72 Ivory Paper Doilies,12,2009-12-14 16:36:00,1.45,15640,United Kingdom,17.4,2009,12,Dec,Monday,16,4
492012,22227,"Decoration, Hanging Heart+Mirror",32,2009-12-15 11:49:00,0.65,17625,United Kingdom,20.8,2009,12,Dec,Tuesday,11,4
492018,84997D,Pink 3 Piece Mini Dots Cutlery Set,6,2009-12-15 12:08:00,3.75,16550,United Kingdom,22.5,2009,12,Dec,Tuesday,12,4
492064,21070,Vintage Billboard Mug,6,2009-12-15 12:49:00,1.25,16713,United Kingdom,7.5,2009,12,Dec,Tuesday,12,4
492169,85080,Padded Red Heart Decoration,1,2009-12-15 14:46:00,0.42,13680,United Kingdom,0.42,2009,12,Dec,Tuesday,14,4
492172,82483,Wood 2 Drawer Cabinet White Finish,3,2009-12-15 15:06:00,5.95,13050,United Kingdom,17.85,2009,12,Dec,Tuesday,15,4
492173,84050,Pink Heart Shape Egg Frying Pan,12,2009-12-15 15:12:00,1.65,13267,United Kingdom,19.8,2009,12,Dec,Tuesday,15,4
492176,84313A,Pink Tv Tray Table,1,2009-12-15 15:21:00,4.25,17841,United Kingdom,4.25,2009,12,Dec,Tuesday,15,4
492214,72484,Roses In White Heart Candle,48,2009-12-15 17:05:00,0.38,14897,United Kingdom,18.24,2009,12,Dec,Tuesday,17,4
492220,21781,Ma Campagne Cutlery Box,1,2009-12-15 17:45:00,14.95,17368,United Kingdom,14.95,2009,12,Dec,Tuesday,17,4
492228,21930,Jumbo Storage Bag Skulls,10,2009-12-15 19:01:00,1.95,15078,United Kingdom,19.5,2009,12,Dec,Tuesday,19,4
492244,21684,Small Medina Stamped Metal Bowl,12,2009-12-16 09:37:00,0.85,17646,United Kingdom,10.2,2009,12,Dec,Wednesday,9,4
492340,21889,Wooden Box Of Dominoes,6,2009-12-16 12:29:00,1.25,17954,United Kingdom,7.5,2009,12,Dec,Wednesday,12,4
492370,84791,Gingham Heart Decoration,2,2009-12-16 14:12:00,2.95,16891,United Kingdom,5.9,2009,12,Dec,Wednesday,14,4
492376,62018,Sombrero,12,2009-12-16 14:59:00,1.95,17776,United Kingdom,23.4,2009,12,Dec,Wednesday,14,4
492387,21842,Pink Heart Candy Button Calculator,4,2009-12-16 15:13:00,2.55,15044,United Kingdom,10.2,2009,12,Dec,Wednesday,15,4
492405,85099F,Jumbo Bag Strawberry,2,2009-12-16 15:48:00,1.95,15055,United Kingdom,3.9,2009,12,Dec,Wednesday,15,4
492419,21910,Way Out Metal Sign,1,2009-12-16 17:34:00,1.65,14540,United Kingdom,1.65,2009,12,Dec,Wednesday,17,4
492435,85035C,Rose 3 Wick Morris Box Candle,1,2009-12-17 10:20:00,4.25,15863,United Kingdom,4.25,2009,12,Dec,Thursday,10,4
492445,22054,Mini Cake Stand Hanging Hearts,11,2009-12-17 11:07:00,1.65,17230,United Kingdom,18.15,2009,12,Dec,Thursday,11,4
492462,20749,Assorted Colour Mini Cases,1,2009-12-17 11:33:00,7.95,15862,United Kingdom,7.95,2009,12,Dec,Thursday,11,4
492484,10125,Mini Funky Design Tapes,1,2009-12-17 11:43:00,0.85,15862,United Kingdom,0.85,2009,12,Dec,Thursday,11,4
492522,21871,Save The Planet Mug,24,2009-12-17 12:30:00,1.25,14051,United Kingdom,30.0,2009,12,Dec,Thursday,12,4
492536,21357,Toast Its - Dinosaur,24,2009-12-17 13:14:00,1.25,16701,United Kingdom,30.0,2009,12,Dec,Thursday,13,4
492544,22156,Heart Decoration With Pearls,12,2009-12-17 13:44:00,0.85,13427,United Kingdom,10.2,2009,12,Dec,Thursday,13,4
492640,21531,Retro Spot Sugar Jam Bowl,3,2009-12-17 16:38:00,2.55,13077,United Kingdom,7.649999999999999,2009,12,Dec,Thursday,16,4
492714,84997B,Red 3 Piece Mini Dots Cutlery Set,6,2009-12-18 10:24:00,3.75,17913,United Kingdom,22.5,2009,12,Dec,Friday,10,4
492718,TEST001,This Is A Test Product.,5,2009-12-18 10:47:00,4.5,12346,United Kingdom,22.5,2009,12,Dec,Friday,10,4
492728,20986,Blue Calculator Ruler,2,2009-12-18 11:18:00,1.25,15311,United Kingdom,2.5,2009,12,Dec,Friday,11,4
492735,20725,Lunch Bag Red Spotty,20,2009-12-18 12:06:00,1.65,12921,United Kingdom,33.0,2009,12,Dec,Friday,12,4
492738,22071,Small Retro Spot Mug In Box  White,1,2009-12-18 12:23:00,3.75,14527,United Kingdom,3.75,2009,12,Dec,Friday,12,4
492749,21754,Home Building Block Word,3,2009-12-18 13:35:00,5.95,14911,EIRE,17.85,2009,12,Dec,Friday,13,4
492750,21768,Wall Mounted Vintage Organiser,2,2009-12-18 13:39:00,14.95,15768,United Kingdom,29.9,2009,12,Dec,Friday,13,4
492750,85067,Cream Sweetheart Wall Cabinet,2,2009-12-18 13:39:00,18.95,15768,United Kingdom,37.9,2009,12,Dec,Friday,13,4
492751,84510A,Set Of 4 English Rose Coasters,6,2009-12-18 13:46:00,1.25,15768,United Kingdom,7.5,2009,12,Dec,Friday,13,4
492753,84997C,Blue 3 Piece Mini Dots Cutlery Set,6,2009-12-18 13:48:00,3.75,14156,EIRE,22.5,2009,12,Dec,Friday,13,4
492753,17107D,"Flower Fairy,5 Summer B'Draw Liners",6,2009-12-18 13:48:00,2.55,14156,EIRE,15.3,2009,12,Dec,Friday,13,4
492762,84813,Set Of 4 Diamond Napkin Rings,8,2009-12-18 14:23:00,3.95,14031,United Kingdom,31.6,2009,12,Dec,Friday,14,4
492764,21754,Home Building Block Word,3,2009-12-18 14:31:00,5.95,16222,United Kingdom,17.85,2009,12,Dec,Friday,14,4
492765,22139,Retro Spot Tea Set Ceramic 11 Pc,6,2009-12-18 14:54:00,4.95,13855,United Kingdom,29.700000000000003,2009,12,Dec,Friday,14,4
492780,35004G,Set Of 3 Gold Flying Ducks,1,2009-12-18 16:56:00,1.95,14031,United Kingdom,1.95,2009,12,Dec,Friday,16,4
492839,21485,Red Spot Heart Hot Water Bottle,2,2009-12-21 11:08:00,4.95,14085,United Kingdom,9.9,2009,12,Dec,Monday,11,4
492869,22107,Pizza Plate In Box,2,2009-12-21 11:51:00,3.75,15039,United Kingdom,7.5,2009,12,Dec,Monday,11,4
493393,21741,Cosy Slipper Shoes Large Green,12,2009-12-23 13:00:00,2.95,12539,Spain,35.400000000000006,2009,12,Dec,Wednesday,13,4
493393,21286,Retro Spot Candle  Large,12,2009-12-23 13:00:00,2.55,12539,Spain,30.6,2009,12,Dec,Wednesday,13,4
493393,22214,Candle Plate Lace White,48,2009-12-23 13:00:00,2.1,12539,Spain,42.075,2009,12,Dec,Wednesday,13,4
