customer_id,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_total,segment
12389,3,1146.98,403,2,3,4,234,9,At Risk
12390,1,546.915,80,3,1,3,313,7,Promising
12391,6,2460.515,22,4,4,5,445,13,Champions
12392,1,177.3,591,1,1,1,111,3,Lost
12393,6,2247.9500000000003,72,3,4,4,344,11,Loyal Customers
12394,2,631.2950000000001,64,3,2,3,323,8,Potential Loyalists
12395,15,4495.77,19,5,5,5,555,15,Champions
12396,1,931.4300000000001,674,1,1,3,113,5,Others
12397,2,2204.7,36,4,2,4,424,10,Recent Customers
12398,1,1437.985,46,4,1,4,414,9,Recent Customers
12399,7,1919.55,119,3,4,4,344,11,Loyal Customers
12400,1,205.25,414,1,1,1,111,3,Lost
12401,1,84.3,303,2,1,1,211,4,Lost
12402,6,1256.9,323,2,4,4,244,10,At Risk
12403,2,334.35,50,4,2,2,422,8,Recent Customers
12404,1,42.075,682,1,1,1,111,3,Lost
12405,1,1327.24,149,3,1,4,314,8,Promising
12406,5,4789.835,22,4,4,5,445,13,Champions
12407,5,1545.1299999999999,50,4,4,4,444,12,Champions
12408,8,3474.085,33,4,4,5,445,13,Champions
12409,7,10498.970000000001,79,3,4,5,345,12,Loyal Customers
12410,3,857.86,309,2,3,3,233,8,At Risk
12411,1,329.275,410,2,1,2,212,5,Lost
12412,6,2458.69,75,3,4,5,345,12,Loyal Customers
12413,4,967.975,67,3,3,3,333,9,Loyal Customers
12414,6,713.1850000000001,217,2,4,3,243,9,At Risk
12415,28,33633.54,24,4,5,5,455,14,Champions
12416,1,202.56,657,1,1,1,111,3,Lost
12417,20,6628.485,3,5,5,5,555,15,Champions
12418,4,1756.075,113,3,3,4,334,10,Loyal Customers
12419,2,452.16,386,2,2,2,222,6,Need Attention
12420,1,600.39,64,3,1,3,313,7,Promising
12421,6,1070.75,16,5,4,4,544,13,Champions
12422,17,3483.795,96,3,5,5,355,13,Loyal Customers
12423,10,2596.8450000000003,1,5,5,5,555,15,Champions
12424,4,2294.19,163,3,3,4,334,10,Loyal Customers
12425,2,1657.885,78,3,2,4,324,9,Potential Loyalists
12426,2,1285.3600000000001,195,2,2,4,224,8,Need Attention
12427,3,723.61,22,4,3,3,433,10,Loyal Customers
12428,9,6150.655,26,4,5,5,455,14,Champions
12429,8,4311.45,9,5,4,5,545,14,Champions
12430,1,250.675,43,4,1,2,412,7,Recent Customers
12431,27,8083.43,36,4,5,5,455,14,Champions
12432,5,2906.42,43,4,4,5,445,13,Champions
12433,10,13288.885,1,5,5,5,555,15,Champions
12434,3,1094.98,85,3,3,4,334,10,Loyal Customers
12435,6,4025.625,80,3,4,5,345,12,Loyal Customers
12436,1,454.66,100,3,1,2,312,6,Promising
12437,39,11682.73,2,5,5,5,555,15,Champions
12438,2,2081.625,14,5,2,4,524,11,Recent Customers
12439,2,1142.88,683,1,2,4,124,7,Need Attention
12440,2,785.575,462,1,2,3,123,6,Need Attention
12441,1,173.55,367,2,1,1,211,4,Lost
12442,1,172.06,3,5,1,1,511,7,Recent Customers
12443,1,407.385,732,1,1,2,112,4,Lost
12444,5,3998.435,21,4,4,5,445,13,Champions
12445,2,421.055,22,4,2,2,422,8,Recent Customers
12446,1,1002.3100000000001,58,4,1,3,413,8,Recent Customers
12447,1,473.565,243,2,1,2,212,5,Lost
12448,1,384.6,44,4,1,2,412,7,Recent Customers
12449,6,4036.76,22,4,4,5,445,13,Champions
12450,5,664.275,156,3,4,3,343,10,Loyal Customers
12451,8,11343.645,11,5,4,5,545,14,Champions
12452,2,388.82000000000005,17,5,2,2,522,9,Recent Customers
12453,1,707.09,134,3,1,3,313,7,Promising
12454,5,1683.0,56,4,4,4,444,12,Champions
12455,10,4684.715,73,3,5,5,355,13,Loyal Customers
12456,3,2476.66,44,4,3,5,435,12,Loyal Customers
12457,8,2066.31,66,3,4,4,344,11,Loyal Customers
12458,4,1634.24,71,3,3,4,334,10,Loyal Customers
12459,1,440.435,605,1,1,2,112,4,Lost
12460,1,326.65,456,1,1,2,112,4,Lost
12461,2,646.455,94,3,2,3,323,8,Potential Loyalists
12462,2,1021.74,19,5,2,3,523,10,Recent Customers
12463,4,1344.78,53,4,3,4,434,11,Loyal Customers
12464,8,906.5500000000001,10,5,4,3,543,12,Loyal Customers
12465,2,742.19,17,5,2,3,523,10,Recent Customers
12466,1,42.075,682,1,1,1,111,3,Lost
12467,1,132.8,423,1,1,1,111,3,Lost
12468,5,2897.955,188,3,4,5,345,12,Loyal Customers
12469,2,1534.45,523,1,2,4,124,7,Need Attention
12470,1,211.95,690,1,1,1,111,3,Lost
12471,79,27490.075,2,5,5,5,555,15,Champions
12472,19,15154.455,32,4,5,5,455,14,Champions
12473,5,2863.525,29,4,4,5,445,13,Champions
12474,31,12075.64,17,5,5,5,555,15,Champions
12475,2,1132.09,54,4,2,4,424,10,Recent Customers
12476,23,11784.800000000001,16,5,5,5,555,15,Champions
12477,9,14187.525000000001,23,4,5,5,455,14,Champions
12478,1,588.065,4,5,1,3,513,9,Recent Customers
12479,1,515.275,11,5,1,2,512,8,Recent Customers
12480,7,4515.95,28,4,4,5,445,13,Champions
12481,15,9442.015,23,4,5,5,455,14,Champions
12482,29,8448.62,576,1,5,5,155,11,At Risk
12483,19,3960.7400000000002,17,5,5,5,555,15,Champions
12484,12,5651.045,33,4,5,5,455,14,Champions
12485,1,651.325,529,1,1,3,113,5,Others
12486,1,959.355,432,1,1,3,113,5,Others
12487,1,84.15,731,1,1,1,111,3,Lost
12488,3,1179.365,10,5,3,4,534,12,Loyal Customers
12489,1,334.93,336,2,1,2,212,5,Lost
12490,21,9213.375,5,5,5,5,555,15,Champions
12491,1,455.675,39,4,1,2,412,7,Recent Customers
12492,3,685.285,63,3,3,3,333,9,Loyal Customers
12493,2,433.74,166,3,2,2,322,7,Potential Loyalists
12494,9,1803.345,16,5,5,4,554,14,Champions
12495,1,319.475,641,1,1,2,112,4,Lost
12496,2,45.34,620,1,2,1,121,4,Lost
12497,3,2259.7650000000003,82,3,3,4,334,10,Loyal Customers
12498,3,403.70000000000005,21,4,3,2,432,9,Potential Loyalists
12499,1,393.72,560,1,1,2,112,4,Lost
12500,19,2982.1800000000003,23,4,5,5,455,14,Champions
12501,1,2067.465,337,2,1,4,214,7,Others
12502,5,2874.92,96,3,4,5,345,12,Loyal Customers
12503,1,84.15,584,1,1,1,111,3,Lost
12504,4,536.5,18,5,3,3,533,11,Loyal Customers
12505,1,829.275,409,2,1,3,213,6,Others
12506,1,73.5,233,2,1,1,211,4,Lost
12507,4,1169.835,134,3,3,4,334,10,Loyal Customers
12508,2,397.88,26,4,2,2,422,8,Recent Customers
12509,1,161.65,284,2,1,1,211,4,Lost
12510,9,2917.185,143,3,5,5,355,13,Loyal Customers
12511,1,3037.295,429,1,1,5,115,7,Others
12512,2,132.18,66,3,2,1,321,6,Others
12513,1,600.365,113,3,1,3,313,7,Promising
12514,2,1520.33,267,2,2,4,224,8,Need Attention
12515,1,320.775,353,2,1,2,212,5,Lost
12516,4,2020.69,78,3,3,4,334,10,Loyal Customers
12517,5,2421.75,28,4,4,5,445,13,Champions
12518,5,2021.13,1,5,4,4,544,13,Champions
12519,2,704.615,64,3,2,3,323,8,Potential Loyalists
12520,5,2510.915,79,3,4,5,345,12,Loyal Customers
12521,1,587.755,143,3,1,3,313,7,Promising
12522,2,192.72,39,4,2,1,421,7,Recent Customers
12523,23,4301.95,19,5,5,5,555,15,Champions
12524,17,6383.8550000000005,9,5,5,5,555,15,Champions
12525,3,925.8050000000001,498,1,3,3,133,7,At Risk
12526,3,1286.7350000000001,1,5,3,4,534,12,Loyal Customers
12527,5,640.085,82,3,4,3,343,10,Loyal Customers
12528,6,1846.855,9,5,4,4,544,13,Champions
12529,1,316.48,528,1,1,2,112,4,Lost
12530,9,3365.08,60,3,5,5,355,13,Loyal Customers
12531,2,1813.275,15,5,2,4,524,11,Recent Customers
12532,1,346.90500000000003,30,4,1,2,412,7,Recent Customers
12533,2,1299.49,628,1,2,4,124,7,Need Attention
12534,1,1023.255,131,3,1,3,313,7,Promising
12535,2,711.4,92,3,2,3,323,8,Potential Loyalists
12536,3,4312.335,43,4,3,5,435,12,Loyal Customers
12537,1,655.015,409,2,1,3,213,6,Others
12538,2,630.325,29,4,2,3,423,9,Recent Customers
12539,7,10068.050000000001,22,4,4,5,445,13,Champions
12540,33,17678.785,20,4,5,5,455,14,Champions
12541,3,933.63,30,4,3,3,433,10,Loyal Customers
12542,2,481.88,484,1,2,2,122,5,Need Attention
12543,1,847.675,448,1,1,3,113,5,Others
12544,1,358.775,36,4,1,2,412,7,Recent Customers
12545,2,916.54,75,3,2,3,323,8,Potential Loyalists
12546,2,1105.65,47,4,2,4,424,10,Recent Customers
12547,3,383.58,198,2,3,2,232,7,Need Attention
12548,1,95.19999999999999,166,3,1,1,311,5,Promising
12549,6,1199.105,576,1,4,4,144,9,At Risk
12550,1,866.905,79,3,1,3,313,7,Promising
12551,1,168.0,358,2,1,1,211,4,Lost
12552,2,359.895,39,4,2,2,422,8,Recent Customers
12553,12,4423.2300000000005,8,5,5,5,555,15,Champions
12554,1,426.575,449,1,1,2,112,4,Lost
12555,1,42.075,682,1,1,1,111,3,Lost
12556,2,599.56,50,4,2,3,423,9,Recent Customers
12557,8,2140.7250000000004,16,5,4,4,544,13,Champions
12558,1,229.31,8,5,1,1,511,7,Recent Customers
12559,2,457.76,311,2,2,2,222,6,Need Attention
12560,3,1942.585,5,5,3,4,534,12,Loyal Customers
12561,1,238.85,303,2,1,2,212,5,Lost
12562,9,4241.335,8,5,5,5,555,15,Champions
12563,1,243.39000000000001,409,2,1,2,212,5,Lost
12564,1,444.975,261,2,1,2,212,5,Lost
12565,1,145.92000000000002,289,2,1,1,211,4,Lost
12566,1,339.725,86,3,1,2,312,6,Promising
12567,15,10741.505000000001,23,4,5,5,455,14,Champions
12568,1,70.0,645,1,1,1,111,3,Lost
12569,32,3855.815,2,5,5,5,555,15,Champions
12570,1,42.075,682,1,1,1,111,3,Lost
12571,2,519.61,40,4,2,3,423,9,Recent Customers
12572,2,977.52,9,5,2,3,523,10,Recent Customers
12573,5,698.645,227,2,4,3,243,9,At Risk
12574,1,218.45000000000002,316,2,1,1,211,4,Lost
12575,2,622.82,457,1,2,3,123,6,Need Attention
12576,8,2104.795,36,4,4,4,444,12,Champions
12577,8,1617.1,35,4,4,4,444,12,Champions
12578,4,3873.65,21,4,3,5,435,12,Loyal Customers
12579,1,428.495,78,3,1,2,312,6,Promising
12580,2,1040.975,247,2,2,3,223,7,Need Attention
12581,1,197.71,40,4,1,1,411,6,Recent Customers
12582,4,1791.55,239,2,3,4,234,9,At Risk
12583,27,11631.285,3,5,5,5,555,15,Champions
12584,9,2110.025,4,5,5,4,554,14,Champions
12585,2,1712.425,234,2,2,4,224,8,Need Attention
12586,4,1890.595,17,5,3,4,534,12,Loyal Customers
12587,1,144.0,8,5,1,1,511,7,Recent Customers
12588,4,882.93,39,4,3,3,433,10,Loyal Customers
12589,8,3412.81,29,4,4,5,445,13,Champions
12590,2,2854.875,211,2,2,5,225,9,Need Attention
12591,3,1195.3,317,2,3,4,234,9,At Risk
12592,5,1562.015,92,3,4,4,344,11,Loyal Customers
12593,3,418.1,109,3,3,2,332,8,Potential Loyalists
12594,15,4706.255,38,4,5,5,455,14,Champions
12595,1,299.02,505,1,1,2,112,4,Lost
12596,2,510.255,51,4,2,2,422,8,Recent Customers
12597,4,3346.52,19,5,3,5,535,13,Loyal Customers
12598,11,4235.245,10,5,5,5,555,15,Champions
12599,13,2243.02,29,4,5,4,454,13,Champions
12600,21,3425.4950000000003,29,4,5,5,455,14,Champions
12601,6,647.735,190,2,4,3,243,9,At Risk
12602,1,153.12,59,4,1,1,411,6,Recent Customers
12603,1,84.15,22,4,1,1,411,6,Recent Customers
12604,2,254.18,79,3,2,2,322,7,Potential Loyalists
12605,4,1232.95,376,2,3,4,234,9,At Risk
12606,1,21.0,682,1,1,1,111,3,Lost
12607,1,1579.51,60,3,1,4,314,8,Promising
12608,1,272.8,405,2,1,2,212,5,Lost
12609,9,3341.81,78,3,5,5,355,13,Loyal Customers
12610,5,1911.69,23,4,4,4,444,12,Champions
12611,1,1091.395,52,4,1,4,414,9,Recent Customers
12612,1,607.065,74,3,1,3,313,7,Promising
12613,10,6408.055,57,4,5,5,455,14,Champions
12614,1,315.6,278,2,1,2,212,5,Lost
12615,8,5441.955,2,5,4,5,545,14,Champions
12616,3,1082.425,95,3,3,4,334,10,Loyal Customers
12617,1,352.98,29,4,1,2,412,7,Recent Customers
12618,1,177.31,22,4,1,1,411,6,Recent Customers
12619,10,2357.195,16,5,5,4,554,14,Champions
12620,3,1339.41,15,5,3,4,534,12,Loyal Customers
12621,35,16965.355,2,5,5,5,555,15,Champions
12622,1,180.1,232,2,1,1,211,4,Lost
12623,7,3498.4900000000002,276,2,4,5,245,11,At Risk
12624,2,641.13,106,3,2,3,323,8,Potential Loyalists
12625,4,4236.41,212,2,3,5,235,10,At Risk
12626,9,5795.805,23,4,5,5,455,14,Champions
12627,7,4280.9800000000005,11,5,4,5,545,14,Champions
12628,3,778.535,4,5,3,3,533,11,Loyal Customers
12629,2,834.5450000000001,386,2,2,3,223,7,Need Attention
12630,2,1115.03,10,5,2,4,524,11,Recent Customers
12631,6,3273.645,57,4,4,5,445,13,Champions
12632,2,742.1800000000001,521,1,2,3,123,6,Need Attention
12633,7,5060.485,59,4,4,5,445,13,Champions
12634,2,402.075,536,1,2,2,122,5,Need Attention
12635,4,2792.71,90,3,3,5,335,11,Loyal Customers
12636,1,42.075,739,1,1,1,111,3,Lost
12637,12,8002.125,67,3,5,5,355,13,Loyal Customers
12638,2,731.215,33,4,2,3,423,9,Recent Customers
12639,3,1191.795,239,2,3,4,234,9,At Risk
12640,3,1071.6200000000001,24,4,3,4,434,11,Loyal Customers
12641,1,185.9,115,3,1,1,311,5,Promising
12642,3,902.44,25,4,3,3,433,10,Loyal Customers
12643,12,1968.4650000000001,128,3,5,4,354,12,Loyal Customers
12644,4,1869.965,130,3,3,4,334,10,Loyal Customers
12645,8,3317.0750000000003,34,4,4,5,445,13,Champions
12646,2,1187.25,5,5,2,4,524,11,Recent Customers
12647,36,11965.65,22,4,5,5,455,14,Champions
12648,4,1109.325,155,3,3,4,334,10,Loyal Customers
12649,8,2135.125,107,3,4,4,344,11,Loyal Customers
12650,1,231.79000000000002,3,5,1,1,511,7,Recent Customers
12651,4,377.75,335,2,3,2,232,7,Need Attention
12652,2,920.0550000000001,331,2,2,3,223,7,Need Attention
12653,3,2460.475,149,3,3,5,335,11,Loyal Customers
12654,5,601.98,11,5,4,3,543,12,Loyal Customers
12655,1,261.35,424,1,1,2,112,4,Lost
12656,8,5174.28,17,5,4,5,545,14,Champions
12657,4,1207.305,11,5,3,4,534,12,Loyal Customers
12658,1,674.125,19,5,1,3,513,9,Recent Customers
12659,1,91.68,30,4,1,1,411,6,Recent Customers
12660,1,245.10000000000002,11,5,1,2,512,8,Recent Customers
12661,1,162.0,436,1,1,1,111,3,Lost
12662,20,6669.615,1,5,5,5,555,15,Champions
12663,2,228.675,625,1,2,1,121,4,Lost
12664,11,1692.4750000000001,8,5,5,4,554,14,Champions
12665,3,313.6,325,2,3,2,232,7,Need Attention
12666,1,728.03,394,2,1,3,213,6,Others
12667,1,502.205,58,4,1,2,412,7,Recent Customers
12668,10,9991.635,12,5,5,5,555,15,Champions
12669,3,1553.955,151,3,3,4,334,10,Loyal Customers
12670,7,3227.275,10,5,4,5,545,14,Champions
12671,1,1493.296,606,1,1,4,114,6,Others
12672,2,429.25,330,2,2,2,222,6,Need Attention
12673,3,1197.845,5,5,3,4,534,12,Loyal Customers
12674,4,1742.4650000000001,39,4,3,4,434,11,Loyal Customers
12675,2,915.325,554,1,2,3,123,6,Need Attention
12676,11,2524.54,25,4,5,5,455,14,Champions
12677,2,389.475,555,1,2,2,122,5,Need Attention
12678,21,13480.1,42,4,5,5,455,14,Champions
12679,4,980.36,59,4,3,3,433,10,Loyal Customers
12680,4,880.81,1,5,3,3,533,11,Loyal Customers
12681,45,27174.015,15,5,5,5,555,15,Champions
12682,52,20452.545000000002,4,5,5,5,555,15,Champions
12683,21,9792.79,4,5,5,5,555,15,Champions
12684,7,2140.515,8,5,4,4,544,13,Champions
12685,6,2737.205,28,4,4,5,445,13,Champions
12686,1,89.14,372,2,1,1,211,4,Lost
12687,2,1900.9850000000001,481,1,2,4,124,7,Need Attention
12688,1,3879.3250000000003,114,3,1,5,315,9,Promising
12689,2,1216.8,26,4,2,4,424,10,Recent Customers
12690,1,369.16,206,2,1,2,212,5,Lost
12691,7,887.575,28,4,4,3,443,11,Loyal Customers
12692,1,110.95,637,1,1,1,111,3,Lost
12693,7,1555.645,127,3,4,4,344,11,Loyal Customers
12694,3,1742.475,70,3,3,4,334,10,Loyal Customers
12695,7,1330.555,7,5,4,4,544,13,Champions
12696,2,813.985,435,1,2,3,123,6,Need Attention
12697,3,838.84,29,4,3,3,433,10,Loyal Customers
12698,1,324.9,590,1,1,2,112,4,Lost
12699,1,608.1850000000001,418,1,1,3,113,5,Others
12700,4,4607.945,8,5,3,5,535,13,Loyal Customers
12701,6,2446.41,80,3,4,5,345,12,Loyal Customers
12702,1,219.0,20,4,1,1,411,6,Recent Customers
12703,4,994.605,71,3,3,3,333,9,Loyal Customers
12704,8,1869.23,7,5,4,4,544,13,Champions
12705,14,10924.800000000001,15,5,5,5,555,15,Champions
12707,1,559.645,292,2,1,3,213,6,Others
12708,18,5076.71,30,4,5,5,455,14,Champions
12709,34,15424.49,15,5,5,5,555,15,Champions
12710,3,1119.095,97,3,3,4,334,10,Loyal Customers
12711,2,1260.075,612,1,2,4,124,7,Need Attention
12712,21,5793.2300000000005,29,4,5,5,455,14,Champions
12713,1,796.8000000000001,1,5,1,3,513,9,Recent Customers
12714,12,12863.865,9,5,5,5,555,15,Champions
12715,1,305.435,106,3,1,2,312,6,Promising
12716,2,1041.565,4,5,2,3,523,10,Recent Customers
12717,3,1185.135,151,3,3,4,334,10,Loyal Customers
12718,1,238.25,71,3,1,2,312,6,Promising
12719,2,644.95,5,5,2,3,523,10,Recent Customers
12720,30,7461.57,3,5,5,5,555,15,Champions
12721,8,3912.73,32,4,4,5,445,13,Champions
12722,4,940.78,85,3,3,3,333,9,Loyal Customers
12723,5,697.1700000000001,4,5,4,3,543,12,Loyal Customers
12724,7,2285.945,5,5,4,4,544,13,Champions
12725,4,1923.695,371,2,3,4,234,9,At Risk
12726,11,3884.175,28,4,5,5,455,14,Champions
12727,10,4573.21,11,5,5,5,555,15,Champions
12728,5,1070.17,71,3,4,4,344,11,Loyal Customers
12729,1,453.01,114,3,1,2,312,6,Promising
12730,1,745.325,522,1,1,3,113,5,Others
12731,17,13442.585000000001,24,4,5,5,455,14,Champions
12732,1,236.26000000000002,180,3,1,1,311,5,Promising
12733,4,2314.17,234,2,3,4,234,9,At Risk
12734,3,429.65,353,2,3,2,232,7,Need Attention
12735,2,759.62,315,2,2,3,223,7,Need Attention
12736,1,168.3,333,2,1,1,211,4,Lost
12737,2,84.15,499,1,2,1,121,4,Lost
12738,1,155.35,372,2,1,1,211,4,Lost
12739,4,1906.78,78,3,3,4,334,10,Loyal Customers
12740,1,427.6,64,3,1,2,312,6,Promising
12741,2,278.145,529,1,2,2,122,5,Need Attention
12742,1,1161.785,626,1,1,4,114,6,Others
12743,2,540.13,134,3,2,3,323,8,Potential Loyalists
12744,11,9730.685,52,4,5,5,455,14,Champions
12745,3,616.78,487,1,3,3,133,7,At Risk
12746,1,254.55,541,1,1,2,112,4,Lost
12747,26,6215.005,2,5,5,5,555,15,Champions
12748,336,42503.9,1,5,5,5,555,15,Champions
12749,9,6696.09,4,5,5,5,555,15,Champions
12750,1,275.88,129,3,1,2,312,6,Promising
12751,1,268.27,445,1,1,2,112,4,Lost
12752,1,1847.8700000000001,81,3,1,4,314,8,Promising
12753,6,7889.650000000001,23,4,4,5,445,13,Champions
12754,3,650.6700000000001,236,2,3,3,233,8,At Risk
12755,11,1104.285,281,2,5,4,254,11,At Risk
12756,1,92.955,87,3,1,1,311,5,Promising
12757,13,4127.125,16,5,5,5,555,15,Champions
12758,7,8083.455,117,3,4,5,345,12,Loyal Customers
12759,8,4933.415,52,4,4,5,445,13,Champions
12760,1,347.8,456,1,1,2,112,4,Lost
12761,2,708.7,458,1,2,3,123,6,Need Attention
12762,2,1460.795,8,5,2,4,524,11,Recent Customers
12763,2,386.305,138,3,2,2,322,7,Potential Loyalists
12764,1,1288.305,317,2,1,4,214,7,Others
12765,6,1310.53,472,1,4,4,144,9,At Risk
12766,9,7919.895,4,5,5,5,555,15,Champions
12767,1,867.245,376,2,1,3,213,6,Others
12768,1,168.69,451,1,1,1,111,3,Lost
12769,1,835.515,239,2,1,3,213,6,Others
12770,2,1178.1000000000001,211,2,2,4,224,8,Need Attention
12771,1,268.375,486,1,1,2,112,4,Lost
12772,1,794.545,60,3,1,3,313,7,Promising
12773,1,79.325,564,1,1,1,111,3,Lost
12774,1,98.7,536,1,1,1,111,3,Lost
12775,7,1647.895,17,5,4,4,544,13,Champions
12776,1,55.5,668,1,1,1,111,3,Lost
12777,1,519.45,458,1,1,3,113,5,Others
12778,9,1742.905,20,4,5,4,454,13,Champions
12779,14,6043.215,38,4,5,5,455,14,Champions
12780,1,337.4,599,1,1,2,112,4,Lost
12781,2,751.29,64,3,2,3,323,8,Potential Loyalists
12782,11,4225.9400000000005,5,5,5,5,555,15,Champions
12783,6,1534.2450000000001,2,5,4,4,544,13,Champions
12784,3,1595.3,9,5,3,4,534,12,Loyal Customers
12785,3,1030.625,364,2,3,3,233,8,At Risk
12786,1,550.975,610,1,1,3,113,5,Others
12787,4,841.855,10,5,3,3,533,11,Loyal Customers
12788,4,444.90000000000003,463,1,3,2,132,6,Need Attention
12789,3,209.0,65,3,3,1,331,7,Others
12790,2,591.85,192,2,2,3,223,7,Need Attention
12791,6,579.655,374,2,4,3,243,9,At Risk
12792,2,799.16,257,2,2,3,223,7,Need Attention
12793,3,833.755,335,2,3,3,233,8,At Risk
12794,2,840.16,53,4,2,3,423,9,Recent Customers
12795,1,346.005,19,5,1,2,512,8,Recent Customers
12796,1,282.45000000000005,628,1,1,2,112,4,Lost
12797,2,538.155,366,2,2,3,223,7,Need Attention
12798,4,884.99,10,5,3,3,533,11,Loyal Customers
12799,1,219.35,529,1,1,1,111,3,Lost
12800,3,570.325,470,1,3,3,133,7,At Risk
12801,1,876.07,501,1,1,3,113,5,Others
12802,7,2327.315,187,3,4,4,344,11,Loyal Customers
12803,1,1022.76,393,2,1,3,213,6,Others
12804,2,325.37,466,1,2,2,122,5,Need Attention
12805,4,1251.875,382,2,3,4,234,9,At Risk
12806,4,1778.835,435,1,3,4,134,8,At Risk
12807,1,292.425,383,2,1,2,212,5,Lost
12808,5,776.7,37,4,4,3,443,11,Loyal Customers
12809,3,1507.64,178,3,3,4,334,10,Loyal Customers
12810,2,517.065,535,1,2,2,122,5,Need Attention
12811,5,1019.975,261,2,4,3,243,9,At Risk
12812,1,229.64000000000001,45,4,1,1,411,6,Recent Customers
12813,3,1263.3,502,1,3,4,134,8,At Risk
12814,1,82.075,102,3,1,1,311,5,Promising
12815,2,947.61,148,3,2,3,323,8,Potential Loyalists
12816,2,534.275,96,3,2,3,323,8,Potential Loyalists
12817,3,644.33,281,2,3,3,233,8,At Risk
12818,1,496.35,262,2,1,2,212,5,Lost
12819,1,466.345,458,1,1,2,112,4,Lost
12820,11,2674.67,3,5,5,5,555,15,Champions
12821,2,220.8,214,2,2,1,221,5,Lost
12822,2,888.955,71,3,2,3,323,8,Potential Loyalists
12823,18,757.35,75,3,5,3,353,11,Loyal Customers
12824,1,391.495,60,3,1,2,312,6,Promising
12825,2,496.905,521,1,2,2,122,5,Need Attention
12826,12,2679.15,3,5,5,5,555,15,Champions
12827,3,427.675,6,5,3,2,532,10,Potential Loyalists
12828,6,1012.41,3,5,4,3,543,12,Loyal Customers
12829,3,338.7,337,2,3,2,232,7,Need Attention
12830,6,1598.8500000000001,38,4,4,4,444,12,Champions
12831,3,451.11,262,2,3,2,232,7,Need Attention
12832,2,383.03000000000003,32,4,2,2,422,8,Recent Customers
12833,1,417.38,145,3,1,2,312,6,Promising
12834,1,312.38,283,2,1,2,212,5,Lost
12835,41,5831.655,428,1,5,5,155,11,At Risk
12836,15,5972.63,59,4,5,5,455,14,Champions
12837,2,662.66,173,3,2,3,323,8,Potential Loyalists
12838,10,2612.86,34,4,5,5,455,14,Champions
12839,26,9439.42,3,5,5,5,555,15,Champions
12840,7,3833.735,144,3,4,5,345,12,Loyal Customers
12841,40,6768.13,5,5,5,5,555,15,Champions
12842,4,1241.585,70,3,3,4,334,10,Loyal Customers
12843,30,4476.92,66,3,5,5,355,13,Loyal Customers
12844,4,648.6,29,4,3,3,433,10,Loyal Customers
12845,4,155.94,267,2,3,1,231,6,Others
12846,1,15.58,682,1,1,1,111,3,Lost
12847,2,1513.525,22,4,2,4,424,10,Recent Customers
12848,1,208.0,676,1,1,1,111,3,Lost
12849,6,2700.485,31,4,4,5,445,13,Champions
12850,1,84.15,446,1,1,1,111,3,Lost
12851,2,280.76,97,3,2,2,322,7,Potential Loyalists
12852,1,311.55,295,2,1,2,212,5,Lost
